Province,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,
ACEH,25845,30118,30121,29460,31133,33034,34749,35635,36977,37947,39960,39909,39922,40344,39729,36083,34043,30826,27075,31868,33147,30119,27376,26991,25879,24090,22369,22594,22705,23099,23229,23129,22524,22835,23363,24014,24590,
BALI,7575,8204,8803,9350,10024,10719,11520,12390,13275,14309,15449,16475,17682,18794,19546,18442,18259,18510,18724,18859,19105,19560,20214,20843,21631,22470,23209,24095,25266,26690,28130,29669,31094,32689,34130,35905,37534,
BANGKA BELITUNG ISLANDS,14612,16027,16498,16877,16492,17115,18045,17635,17847,18293,18791,19690,20938,22195,22720,20799,21234,20600,21358,22370,24575,24921,25327,25873,26582,27335,27885,29071,30212,31172,32081,32860,33480,34133,34934,35767,36238,
BANTEN,14613,17122,17466,17886,17857,18532,19249,20225,21008,21712,22385,23171,24300,25480,25718,20385,20064,20034,20071,20166,20474,20919,21448,22175,23041,23889,24529,25532,26549,27716,28911,29847,30813,31782,32948,34202,35431,
BENGKULU,6988,7153,7383,7829,8060,8549,8777,9010,9356,9689,10126,10450,10890,11260,11356,10419,10369,10559,10894,11304,11801,12323,12922,13569,14317,15007,15712,16527,17282,18144,18919,19627,20302,21040,21752,22498,23276,
CENTRAL JAVA,5954,6637,7108,7450,7796,8194,8620,9099,9667,10302,10847,11519,12295,13053,13309,11560,11899,12241,12634,13035,13634,14281,14990,15733,16553,17419,18249,19246,20054,20951,21845,22819,23887,24959,26089,27287,28576,
CENTRAL KALIMANTAN,11743,11920,12200,12918,13336,13931,14035,14509,15150,15994,16308,17077,18185,19634,20277,18346,17810,17871,18053,18659,19222,19929,20736,21570,22492,23484,24387,25555,26589,27749,29106,30217,31619,32900,34371,35561,36992,
CENTRAL SULAWESI ,6708,6705,6835,7098,7393,7784,8230,8704,9214,9731,10311,10814,11456,12045,12303,11529,11566,11680,12049,12496,13036,13724,14509,15380,16333,17316,18352,19640,21106,22724,24491,25316,28779,31151,32860,34411,36347,
EAST JAVA,9061,9515,9932,10431,10821,11412,12129,12941,13736,14580,15462,16453,17691,18995,19662,16389,16380,16645,17127,17631,18332,19255,20261,21438,22621,23836,24902,26434,27864,29508,31092,32703,34272,35971,37724,39588,41567,
EAST KALIMANTAN,115825,134672,129974,125446,119991,114674,112506,114800,118548,122998,122691,130364,132478,139758,142222,137746,139909,142523,142649,139025,136080,133259,132550,130747,127804,129064,126259,127915,131607,134905,134588,133086,128603,125386,126625,127390,130859,
EAST NUSA TENGGARA,3755,3965,4042,4181,4266,4360,4521,4752,4970,5247,5625,5988,6404,6802,7053,6738,6800,6961,7162,7381,7584,7851,7986,8252,8534,8803,9035,9361,9676,10031,10397,10742,11088,11469,11863,12277,12714,
GORONTALO,4623,4607,4682,4766,4942,5201,5408,5825,6260,6715,7256,7699,8258,8848,9209,8923,9406,9359,9641,10023,10467,10942,11472,12046,12679,13382,14102,14878,15688,16650,17639,18622,19474,20427,21478,22540,23642,
JAKARTA,36655,39432,40476,41517,42946,44770,48062,51072,53910,57340,60884,64779,69748,74891,77748,63369,61797,73814,76204,78804,81834,85273,89176,93216,97910,102659,106425,111529,117673,123962,130060,136312,142914,149832,157637,165872,174137,
JAMBI,10958,11196,11594,11823,12274,13158,14118,14864,15401,16173,17061,18126,19320,20662,21109,19635,19875,20618,21322,21887,22286,22940,23756,24618,25675,26871,27930,29305,30857,32418,34012,35878,36754,37729,38834,40044,41181,
LAMPUNG,6077,6631,6939,7427,7921,8283,8709,9096,9354,10279,10835,11388,12332,13280,13797,12807,13111,13524,13831,14426,15068,15639,16071,16816,17564,18245,18943,19789,20739,21795,22771,23647,24582,25569,26615,27741,28935,
MALUKU,6633,6977,7097,7713,8435,8962,9315,9938,10569,10946,10995,11469,12001,12573,12752,11764,8741,9957,9722,9654,9875,10059,10316,10634,10975,11267,11578,12017,12477,13129,13572,14220,14740,15321,15942,16612,17255,
NORTH KALIMANTAN,36328,42240,40766,39346,37635,35967,35288,36006,37185,38573,38493,40865,41599,43735,44810,42812,44680,46637,47712,48892,50177,51241,52652,53355,54071,55441,60769,63371,66171,69481,72276,76193,76823,76635,78919,80732,83308,
NORTH MALUKU ,8896,9306,9415,10176,11068,11695,12089,12768,13509,13910,13893,14414,15035,15603,15765,14476,10694,11818,11640,11564,11653,11853,12112,12431,12831,13252,13705,14434,15052,15755,16332,16870,17534,18177,19193,20322,21171,
NORTH SULAWESI,6864,6859,6987,7130,7409,7813,8142,8791,9459,10171,11007,11684,12518,13507,14055,13536,14098,14905,15029,15335,15628,16094,16751,17497,18409,20170,21502,22779,23813,25146,26446,27806,29196,30680,32297,33915,35512,
NORTH SUMATERA,7746,8162,8323,8668,9232,10062,10798,11450,12033,12748,13534,14590,15725,16979,17776,15690,15938,16555,17182,17932,18627,19441,20240,21060,22228,23356,24246,25503,26711,28037,29339,30477,31637,32885,34184,35571,37049,
PAPUA,26210,23548,22338,22927,22946,24197,25867,27024,29963,31487,32131,33397,39126,42824,44577,48758,45551,45606,46661,55179,52607,38643,49981,39274,38872,36366,42176,38785,36383,36280,38621,39272,41377,44342,45577,48093,39854,
RIAU ,75576,65336,59880,64510,68886,68444,68823,71522,69197,73273,69148,69751,70749,71574,71565,66543,66325,68995,68889,68431,67908,65652,67676,66145,66680,68711,69051,70161,71638,72396,72297,72391,70770,70569,70740,70751,71122,
RIAU ISLANDS,76261,65689,60001,64440,68619,68002,68215,70128,68164,71397,66705,66145,65969,66701,63705,57738,57607,58042,58101,59021,60268,61315,62558,63409,64630,65665,64798,66238,68024,70930,73743,76314,78625,80296,79744,81293,83202,
SOUTH KALIMANTAN,9179,9487,9474,9471,10002,10550,11004,11489,12047,12821,13728,14607,15616,17062,17729,16645,16806,17426,17769,18064,18473,19019,19593,20177,20991,21934,22678,23522,24568,25548,26424,27220,27787,28540,29579,30624,31413,
SOUTH SULAWESI ,6064,6248,6623,7142,7297,7914,8307,8742,9427,10002,10613,11258,12013,12870,13279,12438,12655,13070,13614,14074,14656,15299,16082,16967,17839,19100,20019,21375,22769,24507,26083,27749,29436,31303,33234,35249,37351,
SOUTH SUMATERA,13637,14824,15123,15331,14847,15268,15952,15394,15562,15935,16339,17121,18186,19203,19757,18011,18166,18193,18495,18916,19458,20202,21016,21941,23046,24033,24835,26041,27158,28578,29657,30636,31549,32700,34060,35670,37261,
SOUTHEAST SULAWESI ,7968,8416,8439,8908,9053,9517,10142,11051,11827,11999,12346,12728,13308,13623,13924,12738,12684,13168,13523,14112,14859,15644,16447,17358,18375,19335,20408,21679,23338,25490,26815,27896,29203,30476,31894,33286,34783,
WEST JAVA,8753,10028,10404,10839,11010,11626,12287,13006,13740,14443,15176,15994,17045,18256,18831,15234,15299,15431,15579,15803,16168,16608,17294,17984,18826,19662,20152,21059,21977,23036,24118,24967,25846,26924,27971,29161,30247,
WEST KALIMANTAN,6380,6567,6843,7650,8137,9226,9408,9843,10179,10639,11148,11719,12605,13599,14316,13360,13446,13632,13874,14378,14697,15268,15702,16381,17222,18009,18718,19578,20227,21062,21972,22713,23457,24309,25198,26109,27050,
WEST NUSA TENGGARA,4518,4899,4949,5140,5190,5403,5760,6141,6472,6896,7136,7520,7983,8483,8779,8315,8382,10624,11264,11520,11828,12400,12467,12666,13137,13358,14814,15582,14706,14277,14810,15370,18475,19306,19091,18029,18542,
WEST PAPUA ,15055,13431,12652,12897,12821,13430,14263,14777,16365,17176,17496,18174,21227,23560,24724,27157,25670,25426,27174,31601,32934,34266,35493,36021,37426,39243,43481,54393,54540,55048,57581,59143,60064,61242,62170,64498,64683,
WEST SULAWESI ,5280,5425,5733,6160,6270,6772,7076,7398,7905,8324,8762,9222,9790,10333,10528,9736,9782,10043,10186,10313,10552,10914,11095,11532,12055,13156,13593,14831,16023,17169,18009,19232,20251,21068,22001,22951,23817,
WEST SUMATERA,7363,7635,7833,8096,8383,8791,9273,9762,10314,10936,11622,12412,13439,14410,15060,13999,14102,14558,14995,15420,16011,16493,17228,18156,19057,20107,20706,21667,22639,23744,24858,25983,27081,28165,29312,30478,31670,
YOGYAKARTA,7116,7495,7547,8074,8344,8782,9267,9623,10050,10671,11212,12037,12907,13817,14206,12518,12845,13270,13689,14154,14649,15240,15799,16217,16747,17416,18011,18707,19387,20184,21038,21868,22688,23566,24534,25776,27190,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
